name_en|name_fr|code_hs4
Live heifers \female bovines that have never calved\ of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)|Génisses [bovins femelles qui n’ont jamais vêlé] vivantes d’un poids > 300 kg (à l’excl. des animaux reproducteurs de race pure et des animaux destinés à la boucherie)|102
Glycerol crude glycerol waters and glycerol lyes|Glycérol brut eaux et lessives glycérineuses|1520
Nickel ores and concentrates|Minerais de nickel et leurs concentrés|2604
Cobalt ores and concentrates|Minerais de cobalt et leurs concentrés|2605
Cocoa beans whole or broken raw or roasted|Cacao en fèves et brisures de fèves bruts ou torréfiés|1801
Cocoa shells husks skins and other cocoa waste|Coques pellicules [pelures] et autres déchets de cacao|1802
Cocoa butter fat and oil|Beurre graisse et huile de cacao|1804
Cocoa powder not containing added sugar or other sweetening matter|Poudre de cacao sans addition de sucre ou dautres édulcorants|1805
Tapioca and substitutes therefor prepared from starch in the form of flakes grains pearls siftings or similar forms|Tapioca et ses succédanés préparés à partir de fécules sous forme de flocons grumeaux grains perlés criblures ou formes simil.|1903
Aluminium ores and concentrates|Minerais daluminium et leurs concentrés|2606
Lead ores and concentrates|Minerais de plomb et leurs concentrés|2607
Zinc ores and concentrates|Minerais de zinc et leurs concentrés|2608
Articles of zinc n.e.s.|Ouvrages en zinc n.d.a.|7907
Tin ores and concentrates|Minerais détain et leurs concentrés|2609
Chromium ores and concentrates|Minerais de chrome et leurs concentrés|2610
Cows of a weight > 300 kg for slaughter (excl. heifers)|Vaches d’un poids > 300 kg destinées à la boucherie (à l’excl. des génisses)|102
Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers)|Vaches vivantes d’un poids > 300 kg (à l’excl. des animaux reproducteurs de race pure des génisses et des animaux destinés à la boucherie)|102
Cattle of a weight > 300 kg for slaughter (excl. heifers and cows)|Bovins domestiques d’un poids > 300 kg destinés à la boucherie (à l’excl. des génisses et des vaches)|102
Live cattle of a weight > 300 kg (excl. for slaughter pure-bred for breeding and heifers and cows)|Bovins domestiques vivants d’un poids > 300 kg (à l’excl. des vaches des génisses des animaux reproducteurs de race pure et des animaux destinés à la boucherie)|102
Live buffalo (excl. pure-bred for breeding)|Buffles vivants (à lexcl. des animaux reproducteurs de race pure)|102
Live domestic buffalo (excl. pure-bred for breeding)|Buffles domestiques vivants (à lexcl. des animaux reproducteurs de race pure)|102
Live buffalo (excl. domestic species and pure-bred for breeding)|Buffles vivants (à lexcl. des espèces domestiques et des animaux reproducteurs de race pure)|102
Oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of soya-bean oil|Tourteaux et autres résidus solides même broyés ou agglomérés sous forme de pellets de lextraction de lhuile de soja|2304
Live bovine animals (excl. cattle and buffalo)|Animaux vivants de lespèce bovine (à lexcl. des bovins domestiques et des buffles)|102
Bovine pure-bred breeding animals (excl. cattle and buffalo)|Animaux reproducteurs de race pure de lespèce bovine (à lexcl. des bovins domestiques et des buffles)|102
Fresh or chilled domestic geese not cut in pieces|Oies domestiques non découpées en morceaux fraîches ou réfrigérées|207
Oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of groundnut oil|Tourteaux et autres résidus solides même broyés ou agglomérés sous forme de pellets de lextraction de lhuile darachide|2305
Original engravings prints and lithographs|Gravures estampes et lithographies originales|9702
Live bovine animals (excl. cattle buffalo pure-bred for breeding and domestic species)|Animaux vivants de lespèce bovine (à lexcl. des bovins domestiques des buffles des animaux reproducteurs de race pure et des espèces domestiques)|102
Live swine|Animaux vivants de lespèce porcine|103
Pure-bred breeding swine|Porcins reproducteurs de race pure|103
Live pure-bred swine weighing < 50 kg (excl. pure-bred for breeding)|Porcins vivants dun poids < 50 kg (à lexcl. des animaux reproducteurs de race pure)|103
Domestic swine weighing < 50 kg (excl. pure-bred for breeding)|Porcins [des espèces domestiques] vivants dun poids < 50 kg (à lexcl. des animaux reproducteurs de race pure)|103
Live non-domestic swine weighing < 50 kg|Porcins des espèces non domestiques vivants dun poids < 50 kg|103
Live pure-bred swine weighing >= 50 kg (excl. pure-bred for breeding)|Porcins vivants dun poids >= 50 kg (à lexcl. des animaux reproducteurs de race pure)|103
Manganese ores and concentrates incl. ferruginous manganese ores and concentrates with a manganese content of >= 20% calculated on the dry weight|Minerais de manganèse et leurs concentrés y.c. les minerais de fer manganésifères dune teneur en manganèse >= 20% sur produit sec|2602
Live domestic sows having farrowed at least once weighing >= 160 kg (excl. pure-bred for breeding)|Truies [des espèces domestiques] vivantes dun poids >= 160 kg ayant mis bas au moins une fois (à lexcl. des animaux reproducteurs de race pure)|103
Live domestic swine weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg and those pure-bred for breeding)|Porcins [des espèces domestiques] vivants dun poids >= 50 kg (à lexcl. des animaux reproducteurs de race pure et des truies dun poids >= 160 kg ayant mis bas au moins une fois)|103
Live non-domestic swine weighing >= 50 kg|Porcins des espèces non domestiques vivants dun poids >= 50 kg|103
Live sheep and goats|Animaux vivants des espèces ovine ou caprine|104
Live sheep|Ovins vivants|104
Chalk|Craie|2509
Pure-bred sheep for breeding|Ovins reproducteurs de race pure|104
Live lambs \sheep up to a year old\ (excl. purebred breeding animals)|Agneaux jusquà lâge dun an vivants (à lexcl. des animaux reproducteurs de race pure)|104
Live sheep (excl. lambs and pure-bred breeding animals)|Ovins vivants (à lexcl. des agneaux et des animaux reproducteurs de race pure)|104
Live goats|Caprins vivants|104
Pure-bred breeding goats|Caprins reproducteurs de race pure|104
Live goats (excl. pure-bred for breeding)|Caprins vivants (à lexcl. des animaux reproducteurs de race pure)|104
Siliceous fossil meals e.g. kieselguhr tripolite and diatomite and similar siliceous earths whether or not calcined of an apparent specific gravity of <= 1|Farines siliceuses fossiles [kieselguhr tripolite diatomite p.ex.] et autres terres siliceuses analogues dune densité apparente <= 1 même calcinées|2512
Live poultry \fowls of the species Gallus domesticus ducks geese turkeys and guinea fowls\|Coqs poules canards oies dindons dindes et pintades [des espèces domestiques] vivants|105
Live fowls of the species Gallus domesticus weighing <= 185 g (excl. turkeys and guinea fowls)|Coqs et poules [des espèces domestiques] vivants dun poids <= 185 g|105
Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g|Poussins femelles de sélection et de multiplication de race de ponte [des espèces domestiques] dun poids <= 185 g|105
Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)|Poussins femelles de sélection et de multiplication [des espèces domestiques] dun poids <= 185 g (à lexcl. des animaux de race de ponte)|105
Fresh chilled or frozen meat and edible offal of rabbits or hares|Viandes et abats comestibles de lapins ou de lièvres frais réfrigérés ou congelés|208
Slate whether or not roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of a square or rectangular shape slate powder and slate refuse|Ardoise même dégrossie ou simpl. débitée par sciage ou autrement en blocs ou en plaques de forme carrée ou rectangulaire poudre dardoise et déchets dardoise|2514
Limestone flux limestone and other calcareous stone of a kind used for the manufacture of lime or cement|Castines pierres à chaux ou à ciment|2521
Chalk|Craie|2509
Laying stock \fowls of the species Gallus domesticus\ of a weight of <= 185 g (excl. grandparent and parent female chicks)|Coqs et poules de race de ponte [des espèces domestiques] dun poids <= 185 g (à lexcl. des poussins femelles de sélection et de multiplication)|105
Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks)|Coqs et poules [des espèces domestiques] vivants dun poids <= 185 g (à lexcl. des animaux de race de ponte ainsi que des poussins femelles de sélection et de multiplication)|105
Live domestic turkeys weighing <= 185 g|Dindes et dindons [des espèces domestiques] vivants dun poids <= 185 g|105
Borates natural and concentrates thereof whether or not calcined and natural boric acids containing <= 85% of H3BO3 calculated on the dry weight (excl. borates separated from natural brine)|Borates naturels et leurs concentrés calcinés ou non (à l’excl. des borates extraits des saumures naturelles) acide borique naturel titrant <= 85 % de H3BO3 sur produit sec|2528
Live domestic geese weighing <= 185 g|Oies domestiques vivantes d’un poids <= 185 g|105
Live domestic guinea fowls weighing <= 185 g|Pintades domestiques vivantes d’un poids <= 185 g|105
Live fowls of the species Gallus domesticus weighing > 185|Coqs et poules [des espèces domestiques] vivants dun poids > 185 g|105
Tungsten ores and concentrates|Minerais de tungstène et leurs concentrés|2611
Live domestic ducks geese turkeys and guinea fowls weighing > 185 g|Canards oies dindons dindes et pintades [des espèces domestiques] vivants dun poids > 185 g|105
Live domestic ducks weighing > 185 g|Canards [des espèces domestiques] vivants dun poids > 185 g|105
Live domestic geese weighing > 185 g|Oies [des espèces domestiques] vivantes dun poids > 185 g|105
Live domestic turkeys weighing > 185 g|Dindons et dindes [des espèces domestiques] vivants dun poids > 185 g|105
Live domestic guinea fowls weighing > 185 g|Pintades [des espèces domestiques] vivantes dun poids > 185 g|105
Live animals (excl. horses asses mules hinnies bovine animals swine sheep goats poultry fish crustaceans molluscs and other aquatic invertebrates and microorganic cultures etc.)|Animaux vivants (à lexcl. des animaux des espèces chevaline asine mulassière bovine porcine ovine ou caprine des coqs poules canards oies dindons dindes et pintades [des espèces domestiques] des poissons crustacés mollusques et autres invertébrés aquatiques ainsi que des cultures de micro-organismes et produits simil.)|106
Live whales dolphins and porpoises (mammals of the order Cetacea) manatees and dugongs (mammals of the order Sirenia) seals sea lions and walruses (mammals of the suborder Pinnipedia)|Baleines dauphins et marsouins (mammifères de lordre des cétacés) lamantins et dugongs (mammifères de lordre des siréniens) otaries et phoques lions de mer et morses (mammifères du sous-ordre des pinnipèdes) vivants|106
Live camels and other camelids [Camelidae]|Chameaux et autres camélidés (Camélidés) vivants|106
Live rabbits and hares|Lapins et lièvres vivants|106
Live domestic rabbits|Lapins domestiques vivants|106
Titanium ores and concentrates|Minerais de titane et leurs concentrés|2614
Live rabbits and hares (excl. domestic rabbits)|Lapins et lièvres vivants (à lexcl. des lapins domestiques)|106
Live mammals (excl. primates whales dolphins and porpoises manatees and dugongs seals sea lions and walruses camels and other camelids rabbits and hares horses asses mules hinnies bovines pigs sheep and goats)|Mammifères vivants (à l’excl. des primates des baleines dauphins et marsouins des lamantins et dugongs des otaries et phoques lions de mer et morses des chameaux et autres camélidés des lapins et lièvres et des animaux des espèces chevaline asine mulassière bovine porcine ovine ou caprine)|106
Live reptiles \e.g. snakes turtles alligators caymans iguanas gavials and lizards\|Reptiles [p.ex. serpents tortues alligators caïmans iguanes gavials et lézards] vivants|106
Granulated slag \slag sand\ from the manufacture of iron or steel|Laitier granulé [sable-laitier] provenant de la fabrication de la fonte du fer ou de lacier|2618
Live birds of prey|Oiseaux de proie vivants|106
Peat incl. peat litter whether or not agglomerated|Tourbe y.c. la tourbe pour litière même agglomérée|2703
Coal gas water gas producer gas lean gas and similar gases (excl. petroleum gases and other gaseous hydrocarbons)|Gaz de houille gaz à leau gaz pauvre et gaz simil. (à lexcl. des gaz de pétrole et autres hydrocarbures gazeux)|2705
Live psittaciformes \incl. parrots parrakeets macaws and cockatoos\|Psittaciformes [y.c. les perroquets perruches aras et cacatoès] vivants|106
Live ostriches and emus [Dromaius novaehollandiae]|Autruches émeus (Dromaius novaehollandiae) vivants|106
Live birds (excl. birds of prey psittaciformes parrots parrakeets macaws cockatoos ostriches and emus)|Oiseaux vivants (à l’excl. des oiseaux de proie psittaciformes perroquets perruches aras cacatoès autruches et émeus)|106
Live pigeons|Pigeons vivants|106
Live birds (excl. birds of prey psittaciformes parrots parrakeets macaws cockatoos ostriches emus and pigeons)|Oiseaux vivants (à l’excl. des oiseaux de proie psittaciformes perroquets perruches aras cacatoès autruches émeus et pigeons)|106
Live bees|Abeilles vivantes|106
Live insects (excl. bees)|Insectes vivants (à lexcl. des abeilles)|106
Live animals (excl. mammals reptiles birds insects fish crustaceans molluscs and other aquatic invertebrates and cultures of micro-organisms etc.)|Animaux vivants (à l’excl. des mammifères reptiles oiseaux insectes poissons crustacés mollusques et autres invertébrés aquatiques ainsi que des cultures de micro-organismes et des produits simil.)|106
Meat of bovine animals fresh or chilled|Viandes des animaux de lespèce bovine fraîches ou réfrigérées|201
Tar distilled from coal from lignite or from peat and other mineral tars whether or not dehydrated or partially distilled incl. reconstituted tars|Goudrons de houille de lignite ou de tourbe et autres goudrons minéraux même déshydratés ou étêtés y.c. les goudrons reconstitués|2706
Carcases or half-carcases of bovine animals fresh or chilled|Carcasses ou demi-carcasses de bovins fraîches ou réfrigérées|201
Fresh or chilled bovine cuts with bone in (excl. carcases and 1/2 carcases)|Morceaux non-désossés de bovins frais ou réfrigérés (à lexcl. des carcasses et des demi-carcasses)|201
Bituminous mastics cut-backs and other bituminous mixtures based on natural asphalt on natural bitumen on petroleum bitumen on mineral tar or on mineral tar pitch|Mastics bitumineux cut-backs et autres mélanges bitumineux à base dasphalte ou de bitume naturels de bitume de pétrole de goudron minéral ou de brai de goudron minéral|2715
\Compensated\ quarters of bovine animals with bone in fresh or chilled|Quartiers dits compensés de bovins non désossés frais ou réfrigérés|201
Unseparated or separated forequarters of bovine animals with bone in fresh or chilled|Quartiers avant de bovins attenants ou séparés non désossés frais ou réfrigérés|201
Electrical energy|Énergie électrique|2716
Unseparated or separated hindquarters of bovine animals with bone in fresh or chilled|Quartiers arrière de bovins attenants ou séparés non désossés frais ou réfrigérés|201
Fresh or chilled bovine cuts with bone in (excl. carcases and half-carcases \compensated quarters\ forequarters and hindquarters)|Viandes de bovins non désossées fraîches ou réfrigérées (à lexcl. des carcasses et demi-carcasses des quartiers compensés et des quartiers avant et arrière)|201
Fresh or chilled bovine meat boneless|Viandes désossées de bovins fraîches ou réfrigérées|201
Meat of bovine animals frozen|Viandes des animaux de lespèce bovine congelées|202
Sulphur sublimed or precipitated colloidal sulphur|Soufre sublimé ou précipité soufre colloïdal|2802
Frozen bovine carcases and half-carcases|Carcasses ou demi-carcasses de bovins congelées|202
Frozen bovine cuts with bone in (excl. carcases and half-carcases)|Morceaux non-désossés de bovins congelés (à lexcl. des carcasses et des demi-carcasses)|202
Frozen unseparated or separated bovine forequarters with bone in|Quartiers avant de bovins attenants ou séparés non désossés congelés|202
Carbon \carbon blacks and other forms of carbon\ n.e.s.|Carbone [noirs de carbone et autres formes de carbone n.d.a.]|2803
Sulphuric acid oleum|Acide sulfurique oléum|2807
Nitric acid sulphonitric acids|Acide nitrique acides sulfonitriques|2808
Frozen unseparated or separated bovine hindquarters with bone in|Quartiers arrière de bovins attenants ou séparés non désossés congelés|202
Frozen bovine cuts with bone in (excl. carcases and half-carcases \compensated\ quarters forequarters and hindquarters)|Viandes de bovins non désossées congelées (à lexcl. des carcasses et demi-carcasses des quartiers compensés et des quartiers avant et arrière)|202
Frozen boneless meat of bovine animals|Viandes désossées de bovins congelées|202
Frozen bovine boneless forequarters whole or cut in max. 5 pieces each quarter in 1 block \compensated\ quarters in 2 blocks one containing the forequarter whole or cut in max. 5 pieces and the other the whole hindquarter excl. the tenderloin in one piece|Quartiers avant de bovins désossés congelés entiers ou découpés en cinq morceaux au maximum chaque quartier avant étant présenté en un seul bloc de congélation ou quartiers compensés présentés en deux blocs de congélation contenant lun le quartier avant entier ou découpé en cinq morceaux au maximum et lautre le quartier arrière à lexcl. du filet en un seul morceau|202
Frozen bovine boneless crop chuck and blade and brisket cuts|Découpes de quartiers avant et de poitrines australiennes de bovins désossées congelées|202
Frozen bovine boneless meat (excl. forequarters whole or cut into a maximum of five pieces each quarter being in a single block \compensated\ quarters in two blocks one of which contains the forequarter whole or cut into a maximum of five pieces and the other the hindquarter excl. the tenderloin in one piece crop chuck and blade and brisket cuts)|Viandes désossées de bovins congelées (à lexcl. des quartiers avant entiers ou découpés en cinq morceaux au maximum chaque quartier avant étant présenté en un seul bloc de congélation ou quartiers compensés présentés en deux blocs de congélation contenant lun le quartier avant entier ou découpé en cinq morceaux au maximum et lautre le quartier arrière [sauf filet en un seul morceau] ainsi que les découpes de quartiers avant et de poitrines australiennes)|202
Meat of swine fresh chilled or frozen|Viandes des animaux de lespèce porcine fraîches réfrigérées ou congelées|203
Fresh or chilled carcases and half-carcases of swine|Carcasses ou demi-carcasses de porcins fraîches ou réfrigérées|203
Fresh or chilled non-domestic swine carcases and half-carcases|Carcasses ou demi-carcasses de porcins non domestiques fraîches ou réfrigérées|203
Fresh or chilled hams shoulders and cuts thereof of swine with bone in|Jambons épaules et leurs morceaux non-désossés de porcins frais ou réfrigérés|203
Fresh or chilled with bone in domestic swine hams and cuts thereof|Jambons et morceaux de jambons non désossés de porcins domestiques frais ou réfrigérés|203
Fresh or chilled with bone in domestic swine shoulders and cuts thereof|Épaules et morceaux dépaules non désossés de porcins domestiques frais ou réfrigérés|203
Fresh or chilled hams shoulders and cuts thereof with bone in of non-domestic swine|Jambons épaules et leurs morceaux non désossés de porcins non domestiques frais ou réfrigérés|203
Fresh or chilled meat of swine (excl. carcases and half-carcases and hams shoulders and cuts thereof with bone in)|Viandes des animaux de lespèce porcine fraîches ou réfrigérées (à lexcl. des carcasses et demi-carcasses ainsi que des jambons épaules et leurs morceaux non-désossés)|203
Zinc oxide zinc peroxide|Oxyde de zinc peroxyde de zinc|2817
Fresh or chilled fore-ends and cuts thereof of domestic swine|Parties avant et morceaux de parties avant de porcins domestiques frais ou réfrigérés|203
Fresh or chilled loins and cuts thereof of domestic swine|Longes et morceaux de longes de porcins domestiques frais ou réfrigérés|203
Cobalt oxides and hydroxides commercial cobalt oxides|Oxydes et hydroxydes de cobalt oxydes de cobalt du commerce|2822
Fresh or chilled bellies \streaky\ and cuts thereof of domestic swine|Poitrines [entrelardés] et morceaux de poitrines de porcins domestiques frais ou réfrigérés|203
Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)|Viandes désossées de porcins domestiques fraîches ou réfrigérées (à lexcl. des poitrines [entrelardés] et des morceaux de poitrines)|203
Titanium oxides|Oxydes de titane|2823
Fresh or chilled lesser or Greenland halibut \Reinhardtius hippoglossoides Atlantic halibut \Hippoglossus hippoglossus\ and Pacific halibut \Hippoglossus stenolepis\|Flétans [Reinhardtius hippoglossoides Hippoglossus hippoglossus Hippoglossus stenolepis] frais ou réfrigérés|302
Hydrogen peroxide whether or not solidified with urea|Peroxyde dhydrogène [eau oxygénée] même solidifié avec de lurée|2847
Acetals and hemiacetals whether or not with other oxygen function and their halogenated sulphonated nitrated or nitrosated derivatives|Acétals et hémi-acétals même contenant dautres fonctions oxygénées et leurs dérivés halogénés sulfonés nitrés ou nitrosés|2911
Halogenated sulphonated nitrated or nitrosated derivatives of cyclic polymers of aldehydes or paraformaldehyde|Dérivés halogénés sulfonés nitrés ou nitrosés des aldéhydes des polymères cycliques des aldéhydes ou du formaldéhyde|2913
Diazo- azo- or azoxy-compounds|Composés diazoïques azoïques ou azoxyques|2927
Sugars chemically pure (excl. sucrose lactose maltose glucose and fructose) sugar ethers sugar acetals and sugar esters and their salts (excl. natural or reproduced by synthesis provitamins vitamins hormones glycosides vegetable alkaloids and their salts ethers esters and other derivatives)|Sucres chimiquement purs (à lexcl. du saccharose du lactose du maltose du glucose et du fructose [lévulose]) éthers acétals et esters de sucres et leurs sels (à lexcl. des provitamines des vitamines des hormones des hétérosides et des alcaloïdes végétaux naturels ou reproduits par synthèse ainsi que de leurs sels éthers esters et autres dérivés)|2940
Fresh or chilled sheep legs|Culottes ou demi-culottes dovins fraîches ou réfrigérées|204
Fresh or chilled meat of domestic swine with bone in (excl. carcases and half-carcases hams shoulders and cuts thereof and fore-ends loins bellies and cuts thereof)|Viandes non désossées de porcins domestiques fraîches ou réfrigérées (à lexcl. des carcasses ou demi-carcasses des jambons épaules et leurs morceaux ainsi que des parties avant longes poitrines et leurs morceaux)|203
Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases hams shoulders and cuts thereof with bone in)|Viandes de porcins non domestiques fraîches ou réfrigérées (à lexcl. des carcasses ou demi-carcasses et des jambons épaules et leurs morceaux non désossés)|203
Frozen carcases and half-carcases of swine|Carcasses ou demi-carcasses de porcins congelées|203
Frozen domestic swine carcases and half-carcases|Carcasses ou demi-carcasses de porcins domestiques congelées|203
Separate chemically defined organic compounds n.e.s.|Composés organiques de constitution chimique définie présentés isolément n.d.a.|2942
Frozen non-domestic swine carcases and half-carcases|Carcasses ou demi-carcasses de porcins non domestiques congelées|203
Frozen hams shoulders and cuts thereof of swine with bone in|Jambons épaules et leurs morceaux non-désossés de porcins congelés|203
Frozen hams and cuts thereof of domestic swine with bone in|Jambons et morceaux de jambons non désossés de porcins domestiques congelés|203
Frozen shoulders and cuts thereof of domestic swine with bone in|Épaules et morceaux dépaules non désossés de porcins domestiques congelés|203
Animal or vegetable fertilisers whether or not mixed together or chemically treated fertilisers produced by the mixing or chemical treatment of animal or vegetable products (excl. those in tablets or similar forms or in packages with a gross weight of <= 10 kg)|Engrais dorigine animale ou végétale même mélangés entre eux ou traités chimiquement engrais résultant du mélange ou du traitement chimique de produits dorigine animale ou végétale (à lexcl. des produits présentés soit en tablettes ou formes simil. soit en emballages dun poids brut <= 10 kg)|3101
Frozen hams shoulders and cuts thereof of non-domestic swine with bone in|Jambons épaules et leurs morceaux non désossés de porcins non domestiques congelés|203
Frozen meat of swine (excl. carcases and half-carcases and hams shoulders and cuts thereof with bone in)|Viandes des animaux de lespèce porcine congelées (à lexcl. des carcasses ou demi-carcasses et des jambons épaules et leurs morceaux non-désossés)|203
Frozen fore-ends and cuts thereof of domestic swine|Parties avant et morceaux de parties avant de porcins domestiques congelés|203
Frozen loins and cuts thereof of domestic swine with bone in|Longes et morceaux de longes de porcins domestiques congelés|203
Frozen bellies \streaky\ and cuts thereof of domestic swine|Poitrines [entrelardés] et morceaux de poitrines de porcins domestiques congelés|203
Frozen boneless meat of domestic swine (excl. bellies and cuts thereof)|Viandes désossées de porcins domestiques congelées (à lexcl. des poitrines [entrelardés] et des morceaux de poitrines)|203
Frozen meat of domestic swine with bone in (excl. carcases and half-carcases hams shoulders and cuts thereof and fore-ends loins bellies and cuts thereof)|Viandes non désossées de porcins domestiques congelées (à lexcl. des carcasses et demi-carcasses des jambons épaules et leurs morceaux ainsi que des parties avant longes poitrines [entrelardés] et leurs morceaux)|203
Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams shoulders and cuts thereof with bone in)|Viandes de porcins non domestiques congelées (à lexcl. des carcasses et demi-carcasses ainsi que des jambons épaules et leurs morceaux non désossés)|203
Meat of sheep or goats fresh chilled or frozen|Viandes des animaux des espèces ovine ou caprine fraîches réfrigérées ou congelées|204
Fresh or chilled lamb carcases and half-carcases|Carcasses ou demi-carcasses dagneaux fraîches ou réfrigérées|204
Fresh or chilled jack and horse mackerel \Trachurus spp.\|Chinchards [Trachurus spp.] frais ou réfrigérés|302
Fresh or chilled sheep carcases and half-carcases (excl. lambs)|Carcasses ou demi-carcasses dovins fraîches ou réfrigérées (à lexcl. des carcasses ou demi-carcasses dagneaux)|204
Fresh or chilled cuts of sheep with bone in (excl. carcases and half-carcases)|Morceaux non-désossés dovins frais ou réfrigérés (à lexcl. des carcasses ou demi-carcasses)|204
Fresh or chilled sheep short forequarters|Casques ou demi-casques dovins frais ou réfrigérés|204
Fresh or chilled sheep chines and/or best ends|Carrés et/ou selles ou demi-carrés et/ou demi-selles dovins frais ou réfrigérés|204
Raw silk \non-thrown\|Soie grège [non moulinée]|5002
Fresh or chilled boneless cuts of sheep with bone in (excl. carcases and half-carcases short forequarters chines and/or best ends and legs)|Viandes non désossées dovins fraîches ou réfrigérées (à lexcl. des carcasses ou demi-carcasses des casques ou demi-casques des carrés et/ou selles ou demi-carrés et/ou demi-selles ainsi que des culottes ou demi-culottes)|204
Fresh or chilled boneless cuts of sheep|Viandes désossées dovins fraîches ou réfrigérées|204
Frozen lamb carcases and half-carcases|Carcasses ou demi-carcasses dagneaux congelées|204
Frozen sheep carcases and half-carcases (excl. lambs)|Carcasses ou demi-carcasses dovins (à lexcl. des carcasses ou demi-carcasses dagneaux) congelées|204
Frozen cuts of sheep with bone in (excl. carcases and half-carcases)|Morceaux non-désossés dovins congelés (à lexcl. des carcasses ou demi-carcasses)|204
